,title,ingredients,directions,link,source,NER
987867,The Best Spinach Salad,"[""3 tablespoons butter"", ""1 package ramen noodles"", ""1/4 cup slivered almonds or 1/4 cup sliced almonds"", ""2 -3 bags Baby Spinach"", ""Dressing"", ""1/2 cup vegetable oil"", ""1/2 cup red wine vinegar"", ""1/2 cup sugar"", ""2 tablespoons soy sauce""]","[""Saute in the butter, until lite brown, the package of ramen noodles (crumbled) and the slivered OR sliced almonds."", ""These are the\""crispies\"" and will keep in a baggie in the freezer if you have any leftover."", ""Combine all the dressing ingredients in jar and shake to mix."", ""This makes enough salad for 2-3 bags of baby spinach or baby romaine or spring greens, your choice."", ""Toss the salad with some crispies and dressing right before serving."", ""Works well to serve with tongs."", ""Add optional sliced green onions if you wish.""]",www.food.com/recipe/the-best-spinach-salad-61591,Gathered,"[""butter"", ""ramen noodles"", ""almonds"", ""Spinach"", ""Dressing"", ""vegetable oil"", ""red wine vinegar"", ""sugar"", ""soy sauce""]"
987960,Sesame-Almond Romaine Salad,"[""1/2 cup butter, cubed"", ""1 tablespoon sugar"", ""2 (3 ounce) packages ramen noodles, crushed"", ""1/3 cup sesame seeds"", ""1/4 cup slivered almonds"", ""2 bunches romaine lettuce, torn"", ""4 green onions, sliced"", ""DRESSING"", ""3/4 cup olive oil"", ""1/3 cup sugar"", ""1/4 cup red wine vinegar"", ""1 tablespoon soy sauce""]","[""In a large skillet, melt butter and 1 tblspn sugar over medium heat. Add the noodles, sesame seeds and almonds. (Discard seasoning pack from noodles or save for some other use.) Cook and stir for 6-8 minutes or until browned; set aside."", ""In a large salad bowl, toss the romaine and onions."", ""In a jar with a tight fitting lid, combine the dressing ingredients; shake well. Just before serving, drizzle over romaine mixture; top with noodle mixture.Toss to coat.""]",www.food.com/recipe/sesame-almond-romaine-salad-220106,Gathered,"[""butter"", ""sugar"", ""ramen noodles"", ""sesame seeds"", ""almonds"", ""bunches romaine lettuce"", ""green onions"", ""DRESSING"", ""olive oil"", ""sugar"", ""red wine vinegar"", ""soy sauce""]"
988890,Szechuan Shrimp Stir-Fry,"[""1/2 cup house of tsang szechuan spicy stir-fry sauce"", ""1/2 lb cooked shrimp"", ""1 (8 ounce) can pineapple chunks (don't drain)"", ""1 (3 ounce) package ramen noodles"", ""1/2 bell pepper, sliced any way you like"", ""1/2 sliced mushrooms"", ""1/4 onion, minced"", ""1/2 lemon, juice of (optional)""]","[""Defrost shrimp, if needed."", ""Heat vegetable oil in a skillet."", ""Cook onions about halfway through."", ""While onions cook, crush ramen noodles into small pieces or large crumbs."", ""Add stir-fry sauce, shrimp, pineapple chunks (with juice) ramen noodles, bell pepper, mushrooms, and lemon juice."", ""Stir-fry for a couple minutes, then serve warm or cold.""]",www.food.com/recipe/szechuan-shrimp-stir-fry-330823,Gathered,"[""house of tsang szechuan spicy stir-fry sauce"", ""shrimp"", ""pineapple"", ""ramen noodles"", ""bell pepper"", ""mushrooms"", ""onion"", ""lemon""]"
988957,Oriental Beef Noodles,"[""8 ounces rib eye steaks, fat removed"", ""1 teaspoon sesame oil, divided"", ""1 cup sliced green onion, cut into 1-inch pieces"", ""1 garlic clove, minced"", ""1 cup shredded cabbage"", ""1 cup shredded carrot"", ""2 (2 7/8 ounce) packages beef-flavor ramen noodles"", ""1 1/2 cups water"", ""1 tablespoon soy sauce""]","[""Trim fat from steak, cut steak diagonally across grain into thin slices. Heat 1/2 teaspoon of oil in a large nonstick skillet over medium-high heat. Add steak, green onions and garlic; stir-fry for two minutes or until done to your preference. Remove steak from skillet; keep warm."", ""Remove noodles from packages; only use one for recipe or part of one depending on salt preference. Add water and remaining seasoning packet to skillet; bring to a boil. Break noodles in half; add noodles to water mixture. Cook noodles for two minutes or until most of liquid is absorbed, stirring frequently. Stir in steak mixture, vegetables and soy sauce; cook until thoroughly heated."", ""To make this dish more quickly you can buy the slaw mix with shredded cabbage and carrot already made. Just use 2 cups of the slaw mix in place of the 1 cup of the shredded cabbage and 1 cups of shredded carrots.""]",www.food.com/recipe/oriental-beef-noodles-135622,Gathered,"[""eye steaks"", ""sesame oil"", ""green onion"", ""garlic"", ""cabbage"", ""carrot"", ""beef-flavor"", ""water"", ""soy sauce""]"
989034,Pork Belly Ramen,"[""3 cups chicken stock"", ""1 tablespoon soy sauce"", ""1 teaspoon sesame oil"", ""1 tablespoon sake"", ""2 slices store-bought roast pork belly"", ""2 (3 ounce) packages store-bought noodles"", ""1 large egg, cooked to your desired doneness, halved"", ""sriracha hot sauce"", ""green onion, chopped"", ""carrot, julienned"", ""corn"", ""radish, sliced""]","[""Bring chicken stock to a boil; add soy sauce, sake, and sesame oil."", ""Cook the ramen noodles; follow package instructions."", ""Pour the broth into two bowls."", ""Divide the ramen between the bowls."", ""Top each with two egg halves, sliced pork belly, and a desired amount of sriracha, green onions, carrots, corn and radishes.""]",www.food.com/recipe/pork-belly-ramen-533068,Gathered,"[""chicken stock"", ""soy sauce"", ""sesame oil"", ""sake"", ""store-bought roast pork belly"", ""noodles"", ""egg"", ""hot sauce"", ""green onion"", ""carrot"", ""corn""]"
989202,"Asian Chicken, Edamame & Noodle Soup","[""2 cups chopped roasted chicken breast"", ""10 ounces shelled edamame"", ""32 ounces chicken broth"", ""3 ounces ramen noodles"", ""1 cup green onion""]","[""Combine first 3 ingredients in a Dutch oven; bring to a boil."", ""Cover, reduce heat to low and simmer 12 minutes."", ""Break noodles into 1-inch pieces. Add noodles, contents of flavouring packet and green onions to pan."", ""Cook 3 minutes; serve immediately.""]",www.food.com/recipe/asian-chicken-edamame-noodle-soup-397768,Gathered,"[""chicken breast"", ""edamame"", ""chicken broth"", ""ramen noodles"", ""green onion""]"
990543,Ramac And Cheese,"[""1/4 lb extra-sharp cheddar cheese, grated on the large holes of a box grater"", ""1 teaspoon cornstarch"", ""1/2 cup evaporated milk"", ""3/4 teaspoon hot sauce (Frank's Red Hot or other brand)"", ""1 (3 -4 ounce) package ramen noodles, any flavor""]","[""Remove and reserve 2 tbsp (1 oz) grated cheese."", ""Toss remaining cheese and cornstarch until well coated. Transfer to a saucepan. Add most of the evaporated milk (reserve about 1 tablespoon) and the hot sauce. Cook over low heat, whisking constantly, until melted, bubbly and thickened, about 5 minutes. (Sauce will look thin and grainy at first, but will smooth out and thicken as it cooks.) Thin to desired consistency with reserved evaporated milk."", ""Prepare ramen according to package directions, discarding seasoning packet. When noodles are tender, drain and toss with cheese sauce. Transfer to an oven-safe dish, top with reserved grated cheese and broil until cheese is melted and bubbly.""]",www.food.com/recipe/ramac-and-cheese-453127,Gathered,"[""cheddar cheese"", ""cornstarch"", ""milk"", ""hot sauce"", ""ramen noodles""]"
990577,"""Kelly'S Chinese Cabbage Salad""","[""1 (3 ounce) package chicken-flavored ramen noodles, crunched up into tiny pieces"", ""4 tablespoons butter"", ""1/4 teaspoon seasoning, packet save rest, set aside"", ""0.75 (16 ounce) bag coleslaw mix (can use whole bag if desired)"", ""1/2 cup sunflower seeds"", ""6 green onions, thinly sliced"", ""1 small red bell pepper, diced small"", ""1/2 cup vegetable oil"", ""1/4 cup vinegar"", ""1/2 cup sugar"", ""1 teaspoon soy sauce"", ""1/4 teaspoon seasoning, packet save last of it for another use""]","[""In frying pan, melt butter. Add 1/4 teaspoons seasoning and noodles. Saute 2 minutes, stirring. Set aside on paper towel. In lg. bowl, combine coleslaw mix, kernels, green onions and red bell pepper. Toss, cover and refrigerate."", ""30 minutes to 1 hour before serving make dressing:"", ""In small bowl, whisk rest of ingredients (except noodles) well til syrupy. Pour over salad, stir well, and refrigerate. Just before serving, stir in noodles."", ""*Variations:"", ""*Sub or add toasted slivered or chopped almonds in place of or in addition to sunflower kernels."", ""**For a complete \""One-Dish\"" lunch or meal, stir in 2-3 cups cooked, diced chicken.""]",www.food.com/recipe/quot-kellys-chinese-cabbage-salad-quot-123115,Gathered,"[""ramen noodles"", ""butter"", ""save rest"", ""coleslaw mix"", ""sunflower seeds"", ""green onions"", ""red bell pepper"", ""vegetable oil"", ""vinegar"", ""sugar"", ""soy sauce"", ""packet""]"
990936,Ramen With Onion And Roasted Pepper,"[""6 ounces Spam"", ""1 green bell pepper, roasted,peeled and diced (very easy)"", ""1/2 cup onion, diced"", ""1 (3 ounce) package ramen noodles"", ""1 clove garlic, peeled and diced"", ""1/4 teaspoon salt"", ""1/4 teaspoon ground black pepper"", ""1 tablespoon olive oil"", ""1/2 teaspoon butter""]","[""Impale the whole green bell pepper on a long handled fork, making sure that the tangs protrude from the other side."", ""Hold over an open flame until the flesh blisters and starts to turn black."", ""Place the pepper into a paper bag and seal for 15 minutes."", ""Then remove,and rub the skin that has been lossened by the steam until it comes off."", ""Remove the stem and seeds."", ""Cut the peeled bell pepper into small pieces, add the salt and black pepper, and set aside."", ""Bring two cups of water to a boil."", ""Melt the butter in the olive oil in a medium sized frying pan, and the saute the onions."", ""When the onions are nearly transparent, break up the Ramen noodles and add to the boiling water."", ""Do NOT add the contents of the seasoning package."", ""The seasoning can be used later to make Salvage Rice, recipe#15581."", ""Add the Spam, bell pepper, and the garlic to the frying pan and stir for 3 minutes which should give the noodles time to cook."", ""Add 1/2 cup of the water from the cooked noodles to the frying pan, drain the noodles and add to the frying pan."", ""Remove the frying pan from the heat and set aside for another minute while the water is being absorbed."", ""Served with a side salad or fruit, this will feed two people for lunch.""]",www.food.com/recipe/ramen-with-onion-and-roasted-pepper-39254,Gathered,"[""green bell pepper"", ""onion"", ""ramen noodles"", ""clove garlic"", ""salt"", ""ground black pepper"", ""olive oil"", ""butter""]"
991263,Crunchy Asian Broccoli Coleslaw,"[""1/2 cup Italian salad dressing"", ""85 g ramen noodles"", ""1 (454 g) package broccoli coleslaw mix"", ""2 green onions"", ""1/4 cup toasted almond"", ""1/8 cup toasted sesame seeds""]","[""Mix dressing with seasoning packet from the ramen noodle soup mix* I used 1/4cup kraft italian and 1/4 cup of tuscan salad dressing. Mix until smooth."", ""Break apart noodles and place in a bowl when you are ready to serve add the slaw, onions, and toasted almonds and seeds. Mix slightly."", ""Add dressing mixture toss to coat and serve. Do not do this to far in advance of serving your meal or the noodles will go soggy. This is also no the greatest salad when serving as leftovers due to the fact that the noodles become soggy.""]",www.food.com/recipe/crunchy-asian-broccoli-coleslaw-296198,Gathered,"[""Italian salad dressing"", ""ramen noodles"", ""broccoli coleslaw"", ""green onions"", ""almond"", ""sesame seeds""]"
991309,Slow Cooked Pork With Apples,"[""4 apples, sliced I used gala"", ""1 onion, sliced"", ""2 lbs boneless pork roast or 2 lbs boneless pork chops"", ""italiano seasoning, to taste"", ""garlic powder, to taste"", ""onion powder, to taste"", ""1/4 cup apple juice"", ""6 ounces chicken-flavored ramen noodles, cooked, drained and mixed with seasoning packets (2 packs)""]","[""Slice apples and lay them on the bottom of the slow cooker, slice onion and lay half of them on top of the apples."", ""Season roast with Italiano Seasoning, garlic powder, and onion powder, and it you want to add salt and pepper. Lay on top of the apples, and top with the remaining onions."", ""Pour apple juice down the side of the slow cooker so you don't rinse off all the seasoning."", ""Cook on High for 4 hours."", ""When ready to serve, boil or ramen noodles in just water, drain, and toss with some butter and the seasoning packets."", ""Serve pork with the apples and noodles."", ""This is a basic last minute chuck into the slow cooker and run because your late recipe. If you want to add different seasonings then experiment. I really didn't know how it would taste until I got home 9 hours later. Hubby told me I have to make it more often.""]",www.food.com/recipe/slow-cooked-pork-with-apples-188615,Gathered,"[""apples"", ""onion"", ""pork roast"", ""garlic"", ""onion"", ""apple juice"", ""chicken""]"
991796,Potluck Top Ramen,"[""6 (2 7/8 ounce) packages beef-flavor ramen noodles (I had Nissin Choice Ramen, low fat & less sodium)"", ""1 lb lean ground beef"", ""1 (14 1/2 ounce) can cut green beans, drained (I had Libby Natruals no salt or sugars added)"", ""24 ounces whole kernel corn, drained"", ""2 carrots, diced"", ""3 celery ribs, diced"", ""6 ounces frozen peas"", ""12 cups water""]","[""Boil Carrots and Celery in 2 cups water until done. Do not drain."", ""Brown Ground Beef in a skillet, drain any grease off."", ""In a large Crock Pot break each package of Top Ramen into quarters."", ""Add each packet of seasoning."", ""Add drained Green Beans, & Corn. Add frozen Peas."", ""Pour in 10 cups of warm water, turn crock pot onto high and cover."", ""When carrots and celery are done add to crock pot water and all."", ""When beef is done add to crock pot."", ""Stir to combine when noodles are soft."", ""Cook on high for 2 hours, then turn to low for 2 hours.""]",www.food.com/recipe/potluck-top-ramen-390143,Gathered,"[""beef-flavor"", ""lean ground beef"", ""green beans"", ""kernel corn"", ""carrots"", ""celery"", ""frozen peas"", ""water""]"
992155,Thai Chicken Cabbage Soup,"[""2 boneless skinless chicken breast halves"", ""1 medium head of cabbage, quartered & sliced"", ""4 cups chicken stock"", ""2 vidalia onions, quartered & sliced"", ""6 carrots, peeled & cut into 1 inch pieces"", ""2 teaspoons sweet thai chili paste (red)"", ""1/2 teaspoon ground ginger"", ""1/2 teaspoon sesame oil"", ""1/2 teaspoon seasoned rice vinegar"", ""2 teaspoons fish sauce"", ""black pepper (optional)"", ""4 ounces sliced mushrooms (optional)"", ""1 cup sugar snap peas or 1 cup snow pea pods, sliced into 1 inch pieces"", ""1 (3 ounce) ramen noodles (discard seasoning packet)"", ""fresh cilantro (for garnish)""]","[""Place all ingredients, chicken on the bottom (except mushrooms, pea pods & ramen noodles) in slow cooker on low 6-8 hours. Stir and shred chicken. Add mushrooms & ramen noodles (break if desired, or leave whole). Cover and cook another 5 minutes or so. Add sliced pea pods (they will cook quickly in hot broth). Serve with more chili paste (or chili sauce) if desired. Garnish with fresh cilantro, if desired.""]",www.food.com/recipe/thai-chicken-cabbage-soup-491047,Gathered,"[""chicken"", ""head of cabbage"", ""chicken stock"", ""vidalia onions"", ""carrots"", ""sweet thai chili paste"", ""ground ginger"", ""sesame oil"", ""rice vinegar"", ""fish sauce"", ""black pepper"", ""mushrooms"", ""sugar snap peas"", ""ramen noodles"", ""fresh cilantro""]"
992323,Chicken Rotel With Ramen Noodles,"[""3 -4 boneless skinless chicken breasts"", ""2 -3 tablespoons butter"", ""garlic powder"", ""seasoning salt"", ""pepper"", ""1 (8 ounce) can mushrooms (fresh would probably be better)"", ""1 (10 ounce) can Rotel Tomatoes"", ""1 small onion"", ""Velveeta cheese, chunked"", ""1 package chicken-flavored ramen noodles, cooked""]","[""Season chicken breasts with garlic powder, seasoned salt and pepper."", ""Brown chicken in butter while cooking Ramen noodles, reserve the seasoning packet for later."", ""Cut chicken into bite sized pieces."", ""Place in small casserole dish that has been lightly greased."", ""Drain noodles then add to chicken."", ""Add remaining ingredients then sprinkle seasoning packet from Ramen noodles stir well."", ""Bake at 350 degrees until heated through and cheese is completely melted.""]",www.food.com/recipe/chicken-rotel-with-ramen-noodles-86305,Gathered,"[""chicken breasts"", ""butter"", ""garlic"", ""salt"", ""pepper"", ""mushrooms"", ""Tomatoes"", ""onion"", ""Velveeta cheese"", ""chicken""]"
993700,Japanese Hamburger Dish,"[""1/4 cup blanched slivered almond"", ""1 tablespoon butter or 1 tablespoon margarine"", ""3/4 lb beef, ground"", ""1 cup water"", ""1/4 teaspoon salt"", ""1 cup fine noodles (such as Ramen noodles (1 pkg.))"", ""1 package Japanese-style vegetables (frozen)"", ""1 tablespoon soy sauce""]","[""Saute almo nds in butter or margarine in skillet until lightly browned."", ""Remove from pan and set aside. Brown beef well in butter remaining in skillet. Stir in water and salt and bring to a boil."", ""Stir in noodles."", ""Cover and simmer for 2 minutes."", ""Add vegetables."", ""Bring to a full boil over medium heat, separating vegetables with a fork and stirring frequently."", ""Cover and simmer for 3 minutes."", ""Stir in soy sauce and sprinkle with almonds.""]",www.food.com/recipe/japanese-hamburger-dish-3055,Gathered,"[""blanched slivered almond"", ""butter"", ""beef"", ""water"", ""salt"", ""noodles"", ""vegetables"", ""soy sauce""]"
994601,Soup Ramen With Shredded Beef,"[""14 ounces dried ramen noodles"", ""12 ounces beef sirloin, half frozen to make slicing easier"", ""1 1/2 quarts chicken stock"", ""1 inch piece gingerroot, roughly sliced"", ""2 garlic cloves, halved"", ""2 tablespoons sake"", ""3 tablespoons shoyu, plus"", ""1 tablespoon shoyu, for stir-frying"", ""1 bok choy, trimmed and thinly shredded"", ""2 tablespoons peanut oil"", ""8 dried shiitake mushrooms, soaked in warm water for 30 minutes, drained and thinly sliced"", ""sea salt, to taste"", ""fresh ground black pepper, to taste""]","[""Cook the ramen noodles following the directions onthe package, then drain. Ringse the noodles to remove the starch, then drain in a fine-mesh colander and set aside."", ""Cut the beef into thin strips and leave to thaw completely while preparing the remaining ingredients."", ""Heat the chicken stock in a saucepan, add the ginger and garlic, and simmer gently over medium heat 10 minutes. Remove the flavorings using a slotted spoon and discard. Season the broth with the sake, shoyu and salt and pepper to taste, then remove from the heat."", ""Stir-fry the bok choy in 1 T. of the oil in a skillet or wok over medium heat 1 to 2 minutes, then transfer to a plate. Add the remaining oil to the pan and stir-fry the shiitake and beef over medium heat 2 to 3 minutes until the meat turns pale. Season with 1 T. of the shoyu and salt and pepper and remove fromthe heat."", ""Pour boiling water over the cooked noodles to warm them, then drain them and divide between 4 bowls. Spoon the soup over the noodles and top with the beef, shiitake, and bok choy. Serve hot.""]",www.food.com/recipe/soup-ramen-with-shredded-beef-353147,Gathered,"[""ramen noodles"", ""beef sirloin"", ""chicken stock"", ""gingerroot"", ""garlic"", ""sake"", ""shoyu"", ""shoyu"", ""choy"", ""peanut oil"", ""shiitake mushrooms"", ""salt"", ""fresh ground black pepper""]"
994857,Homemade Seasoned Rice,"[""1 cup white rice"", ""1 (3 ounce) package chicken-flavored ramen noodles"", ""4 cups water"", ""2 tablespoons margarine spread""]","[""Heat a medium skillet on medium heat. Add 2 T margarine to the skillet and melt this. While the margarine is melitng crush the Top Ramen in the package into small pieces. Put the seasoning packet aside. When the margarine is melted add the rice and the crushed Top Ramen and stir to coat with the margarine. Cook on Medium heat until the rice/noodles start browning, stirring frequently. Once this is has started to brown, carefully add water. Steam will raise so be careful not to get burned. Add seasoning packet from Top Ramen and stir. Simmer for 12-15 minutes or until the rice mixture is tender. Remove from heat and stir."", ""Serve hot.""]",www.food.com/recipe/homemade-seasoned-rice-321709,Gathered,"[""white rice"", ""ramen noodles"", ""water"", ""margarine""]"
995306,"Yatsobi (Beef, Cabbage And Ramen Noodle Stir-Fry)","[""1 lb lean ground beef, cooked and drained on paper towels"", ""6 slices bacon, cooked and torn into bite size pieces (reserve 2 tbls bacon fat)"", ""2 (3 ounce) packages ramen noodles (broken into 3 sections)"", ""3 garlic cloves, minced"", ""1 medium red onion, diced (about 1 1/4 cup)"", ""1 medium cabbage, chopped (about 8-10 cups)"", ""3 carrots, cut into thin 1 inch strips"", ""1 red bell pepper, cut into bite size pieces"", ""2 -4 tablespoons light soy sauce"", ""3 cups bean sprouts (Mung bean)"", ""light soy sauce, to taste"", ""crushed red pepper flakes (about 1/2 to 1 tsp) (optional)""]","[""In a large skillet or wok, brown ground beef and set aside to drain on paper towels."", ""Fry bacon, drain on paper towels and reserve 2 Tbsp of the bacon fat."", ""Heat the bacon grease over medium heat."", ""Add chopped onions and garlic and cook for 3-4 minutes or until onions are soft."", ""Add 2 - 4 tbls. soy sauce."", ""Add carrots and cook for 2-3 minutes."", ""Add cabbage & red bell pepper."", ""Stir-fry on medium-high heat for 5-6 minutes or until vegetables are crisp tender. (We like ours crisp so you may want to cook longer)."", ""Prepare Ramen noodles as directed on package, drain, and toss with a little olive oil to keep them from sticking together (do not add the seasoning packets)."", ""Add ground beef, bacon and crushed red pepper flakes (if using) to the vegetable mixture and cook at medium heat for 2-3 minutes, or until meat is heated through."", ""Add bean sprouts and Ramen noodles to meat and vegetable mixture and stir fry 2-3 minutes, stirring frequently."", ""Serve with extra soy sauce to taste.""]",www.food.com/recipe/yatsobi-beef-cabbage-and-ramen-noodle-stir-fry-227043,Gathered,"[""lean ground beef"", ""bacon"", ""ramen noodles"", ""garlic"", ""red onion"", ""cabbage"", ""carrots"", ""red bell pepper"", ""bean sprouts"", ""light soy sauce"", ""red pepper""]"
995379,"Easy, Delicious Cashew Ramen!","[""1 (8 ounce) package ramen noodles (Any flavor)"", ""1 tablespoon sesame oil"", ""1/4 cup chicken broth"", ""3 tablespoons crushed cashews (more or less to taste)"", ""2 teaspoons crushed red pepper flakes"", ""2 teaspoons onion flakes""]","[""Cook Ramen as directed."", ""Drain."", ""In skillet, heat oil, broth, cashews, pepper, half the seasoning packet and onion flakes."", ""Add noodles and stir fry"", ""Serve and Enjoy!""]",www.food.com/recipe/easy-delicious-cashew-ramen-367335,Gathered,"[""ramen noodles"", ""sesame oil"", ""chicken broth"", ""cashews"", ""red pepper"", ""onion flakes""]"
995598,Crunchy Asian Coleslaw,"[""3 ounces ramen noodles, chicken flavored (crushed in pkg.)"", ""1/2 cup almonds, slivered"", ""1/8 cup sunflower seeds"", ""8 ounces coleslaw mix"", ""1/4 cup carrot, shredded"", ""2 green onions, chopped"", ""Dressing"", ""1/2 cup oil"", ""3 teaspoons vinegar"", ""seasoning packet from ramen noodles"", ""1 teaspoon sugar"", ""salt and pepper""]","[""Preheat oven 350 deg."", ""Place crushed Ramen noodles, almonds, and sunflower seeds on a jelly roll pan and bake for 5-7 minute Watch closely so they don't burn. Cool until needed."", ""Mix dressing in a small bowl. Can be done ahead of time."", ""In a large bowl, mix coleslaw mix, carrots, and green onion. When noodle mixture is cooled and you are ready to serve, add to the cabbage mixture. Stir in the dressing and serve immediately.""]",www.food.com/recipe/crunchy-asian-coleslaw-434156,Gathered,"[""ramen noodles"", ""almonds"", ""sunflower seeds"", ""mix"", ""carrot"", ""green onions"", ""Dressing"", ""oil"", ""vinegar"", ""ramen noodles"", ""sugar"", ""salt""]"
995764,Cheap And Easy Ramen Dessert,"[""1 package ramen noodles (minus seasoning packet)"", ""strawberry sauce (like you would get on an ice cream sundae)"", ""1 bottle honey"", ""1 dash cinnamon"", ""1 dash sugar"", ""whipped cream, from a can or Cool Whip, is best.""]","[""Cook ramen according to package directions."", ""Drain."", ""Place noodles in fridge until chilled."", ""Remove from fridge and place on a plate."", ""Add as much honey as desired, use a squeeze bottle for this."", ""Sprinkle on some cinnamon and sugar."", ""Add a drizzling of strawberry sauce."", ""Top with copious amounts of whipped cream and one more drizzling of strawberry sauce for colour."", ""Enjoy!""]",www.food.com/recipe/cheap-and-easy-ramen-dessert-83243,Gathered,"[""ramen noodles"", ""strawberry sauce"", ""honey"", ""cinnamon"", ""sugar"", ""whipped cream""]"
995793,Oriental Meatballs Ramen,"[""1 (3 ounce) package oriental-flavor instant ramen noodles"", ""1/2 lb ground beef"", ""1 cup water"", ""snow peas, lettuce (or any other veggie you like)""]","[""Mix half of the ramen seasoning packet with the ground beef. Shape into 1 inch meatballs. Brown the meatballs in a large skillet."", ""Add the water, the noodles, the rest of the seasoning packet and the veggies."", ""Simmer for 3 to 5 minutes until tender. Sprinkle with soy sauce if desired.""]",www.food.com/recipe/oriental-meatballs-ramen-324663,Gathered,"[""ramen noodles"", ""ground beef"", ""water"", ""snow peas""]"
996822,Top Ramen Oriental Green Beans,"[""1 1/2 lbs fresh green beans"", ""2 (3 ounce) packages Top Ramen noodles"", ""1/2 cup vegetable oil"", ""1/3 cup toasted almond"", ""salt, as needed"", ""black pepper, as needed""]","[""Wash the green beans, cut off the ends, and cut the green beans into 3-4\"" lengths."", ""Steam until just tender."", ""In a large nonstick frying pan put the oil and the powder from the two Top Ramen seasoning packets."", ""I like to use the oriental flavored seasoning."", ""Mix the oil and seasoning powder together."", ""Do not turn on the heat yet, or the powdered spices might stick to the bottom of the pan."", ""Next crumble one packet of the noodles into small pieces and stir into the oil mixture."", ""Save the other noodles for soup or some other recipe."", ""After the dried noodles are well coated with oil, stir in the cooked green beans."", ""Turn the heat on medium, and stir the green beans occasionally, until heated through."", ""Add salt and pepper when half heated, and then stir in the toasted almonds just before you turn off the heat."", ""Serve at once.""]",www.food.com/recipe/top-ramen-oriental-green-beans-265925,Gathered,"[""green beans"", ""Ramen noodles"", ""vegetable oil"", ""toasted almond"", ""salt"", ""black pepper""]"
996958,Quick Hunan Grilled Chicken,"[""2 tablespoons hoisin sauce"", ""1 tablespoon peanut butter"", ""2 teaspoons soy sauce"", ""1 clove garlic, minced"", ""1 teaspoon hot pepper oil"", ""1/8 teaspoon sesame oil"", ""1 lb boneless skinless chicken breast"", ""4 leaves iceberg lettuce""]","[""Pound chicken breasts to 1/2\"" thickness."", ""Mix together hoisin sauce, peanut butter, garlic, and oil; spread over both sides of chicken."", ""Grill or broil chicken 4-5 inches from heat source until chicken is cooked through, about 5 minutes per side."", ""Slice chicken diagonally across the breast and serve on a piece of iceberg lettuce."", ""If you desire, serve with ramen noodles and steamed snow peas, as fast and easy side dishes.""]",www.food.com/recipe/quick-hunan-grilled-chicken-28287,Gathered,"[""hoisin sauce"", ""peanut butter"", ""soy sauce"", ""clove garlic"", ""hot pepper oil"", ""sesame oil"", ""chicken breast""]"
996998,Chicken Khao Soi,"[""4 large dried guajillo chilies, stemmed & halved & seeded"", ""2 shallots, peeled & halved"", ""8 garlic cloves, peeled"", ""2 inches ginger, peeled & sliced"", ""1/4 cup cilantro, chopped"", ""1 tablespoon ground coriander"", ""1 tablespoon ground turmeric"", ""1 teaspoon curry powder"", ""2 tablespoons vegetable oil"", ""2 (14 ounce) cans unsweetened coconut milk"", ""2 cups chicken broth"", ""1 1/2 lbs boneless skinless chicken thighs, halved lengthwise"", ""1 1 lb ramen noodles or 1 lb rice noodles"", ""3 -4 tablespoons fish sauce"", ""1 tablespoon palm sugar or 1 tablespoon brown sugar"", ""sliced red onion, bean sprouts, cilantro sprigs, crispy fried onions, chili oil, and lime wedges (all optional for serving)""]","[""Place chiles in a small heatproof bowl, add boiling water to cover, and let soak until softened, 25-30 minutes."", ""Drain chiles, reserving soaking liquid. Puree chiles, shallots, garlic, ginger, cilantro, coriander, turmeric, curry powder, and 2 tablespoons soaking liquid in a food processor, adding more soaking liquid by tablespoonfuls, if needed, until smooth. You've just made khao soi paste!"", ""Heat oil in a large heavy pot over medium heat. Add khao soi paste; cook, stirring constantly, until slightly darkened, 4-6 minutes. Add coconut milk and broth. Bring to a boil; add chicken. Reduce heat and simmer until chicken is fork-tender, 20-25 minutes. Transfer chicken to a plate. Let cool slightly; shred meat."", ""Meanwhile, cook noodles according to package directions."", ""Add chicken, 3 tablespoons fish sauce, and sugar to soup. Season with salt and/or more fish sauce, if needed. Divide soup and noodles among bowls and serve with toppings.""]",www.food.com/recipe/chicken-khao-soi-513974,Gathered,"[""guajillo chilies"", ""shallots"", ""garlic"", ""ginger"", ""cilantro"", ""ground coriander"", ""ground turmeric"", ""curry powder"", ""vegetable oil"", ""unsweetened coconut milk"", ""chicken broth"", ""chicken"", ""ramen noodles"", ""palm sugar"", ""red onion""]"
997621,Ramen Noodle Stir-Fry Side Dish,"[""2 (3 ounce) packages ramen noodles (any flavor, use flavor packets separately)"", ""1 cup assorted fresh vegetable (such as celery, onion, green onion, mushrooms, brocolli, bell peppers)"", ""1/4 teaspoon chili pepper flakes (to taste)"", ""1/2 teaspoon garlic, minced"", ""2 tablespoons soy sauce"", ""2 tablespoons oil"", ""1 dash sesame seeds (optional)""]","[""In large skillet on med high heat, saute vegetables in oil for 2 minutes. Turn to low and keep warm."", ""Bring water in a medium sauce pan to boil. Break noodle \""squares\"" in half and add to boiling water. Boil for 3 minutes. Drain water, and add cooked noodles to skillet of vegetables."", ""Add pepper flakes, garlic, soy sauce, and flavor packets from Ramen noodle packages. Stir/toss with tongs. Serve immediately in a shallow bowl or platter, sprinkle with sesame seeds.""]",www.food.com/recipe/ramen-noodle-stir-fry-side-dish-465955,Gathered,"[""ramen noodles"", ""vegetable"", ""chili pepper"", ""garlic"", ""soy sauce"", ""oil"", ""sesame seeds""]"
